@relation sentiment

@attribute "-5" numeric
@attribute "-4" numeric
@attribute "-3" numeric
@attribute "-2" numeric
@attribute "-1" numeric
@attribute "0" numeric
@attribute "1" numeric
@attribute "2" numeric
@attribute "3" numeric
@attribute "4" numeric
@attribute "5" numeric
@attribute classification {P, PE}

@data
0,0,0,5,0,656,0,5,3,0,0,PE
0,0,0,7,0,794,0,13,5,1,0,PE
0,0,2,11,0,1581,0,14,7,1,0,PE
0,0,0,7,0,1167,0,11,9,2,0,PE
0,0,0,2,0,1036,0,22,5,2,0,PE
0,0,0,6,0,1316,0,16,5,5,0,PE
0,0,0,6,0,1091,0,15,9,0,0,PE
0,0,0,6,0,938,0,10,7,0,0,PE
0,1,0,6,0,985,0,20,21,3,0,PE
0,0,0,3,0,751,0,4,5,1,0,PE
0,1,4,16,0,2770,0,25,12,6,0,PE
0,1,0,6,0,918,0,3,7,6,0,PE
0,2,0,6,0,1009,0,7,4,1,0,PE
0,0,2,20,0,1346,0,16,6,4,0,PE
0,0,0,4,0,1809,0,13,0,1,0,PE
0,0,0,3,0,551,0,2,2,0,0,PE
0,0,1,2,0,568,0,5,2,0,0,PE
0,0,0,3,0,1008,0,5,2,0,0,PE
0,0,0,5,0,653,0,5,2,0,0,PE
0,0,3,9,0,2159,0,29,11,3,0,PE
0,1,0,17,0,3636,0,50,25,7,0,PE
0,0,3,12,0,2286,0,29,22,3,0,PE
0,0,0,13,0,3891,0,55,17,4,0,PE
0,0,1,6,0,551,0,1,3,1,0,PE
0,0,0,9,0,1883,0,17,21,0,0,PE
0,0,1,13,0,1685,0,30,17,2,0,PE
0,0,0,5,0,530,0,4,0,2,0,PE
0,1,1,17,0,2230,0,36,12,1,0,PE
0,0,0,9,0,1658,0,18,13,3,0,PE
0,0,0,16,0,1166,0,3,2,0,0,P
0,1,2,3,0,1569,0,20,13,3,0,P
0,2,2,22,0,1696,0,14,10,1,0,P
0,4,2,20,0,3222,0,43,33,1,0,P
0,1,2,22,0,1006,0,8,5,0,0,P
0,0,5,21,0,3491,0,41,33,2,1,P
0,3,8,21,0,1584,0,17,6,0,0,P
0,0,3,10,0,2245,0,52,19,0,0,P
0,0,0,2,0,1531,0,8,7,0,0,P
0,8,18,47,0,4001,0,94,52,2,0,P
0,1,1,14,0,1196,0,8,5,0,0,P
0,3,3,17,0,1169,0,11,14,1,0,P
0,6,13,73,0,4152,0,74,25,1,0,P
0,1,1,2,0,1166,0,22,6,0,0,P
0,1,0,3,0,1273,0,14,4,1,0,P
0,0,2,15,0,1562,0,14,6,0,0,P
0,4,2,18,0,2338,0,32,22,1,0,P
0,0,2,5,0,1542,0,20,6,1,0,P
0,0,5,16,0,892,0,10,4,0,0,P
0,0,2,8,0,822,0,13,3,1,0,P
0,0,1,2,0,1011,0,18,2,0,0,P
0,0,3,10,0,1307,0,12,5,1,0,P
0,1,4,18,0,1699,0,16,12,0,0,P
1,4,6,24,0,1494,0,15,7,1,0,P
0,5,8,18,0,2341,0,42,49,5,0,P
0,7,9,40,0,3792,0,80,65,5,0,P
0,31,10,60,0,5256,0,105,53,5,0,P
0,4,3,26,0,4158,0,109,104,4,0,P
0,10,4,58,0,3736,0,109,70,10,1,P
0,0,2,8,0,909,0,5,3,0,0,P
0,2,2,8,0,845,0,12,6,1,0,P
0,2,1,4,0,1202,0,14,9,0,0,P
0,8,9,32,0,1546,0,15,9,0,0,P
0,3,4,18,0,1860,0,18,16,0,0,P
0,0,0,10,0,1000,0,6,1,0,0,P
0,1,2,16,0,1186,0,6,3,0,0,P
0,1,6,12,0,1822,0,18,14,0,0,P
0,2,6,24,0,1899,0,28,7,1,0,P
0,0,2,5,0,997,0,7,4,0,0,P
0,0,1,1,0,557,0,1,0,0,0,P
0,1,3,25,0,4284,0,58,31,0,0,P
0,0,0,15,0,1387,0,9,7,2,0,P
0,0,3,11,0,1189,0,3,1,0,0,P
0,0,12,14,0,3106,0,31,32,1,0,P
0,3,2,24,0,3552,0,45,20,1,0,P
0,1,7,40,0,3338,0,52,14,1,0,P
0,0,5,7,0,2259,0,35,25,1,0,P
0,1,5,15,0,2336,0,26,8,0,0,P
0,13,14,54,0,4170,0,107,68,7,0,P
0,9,6,25,0,3059,0,72,32,4,0,P
0,53,31,70,0,4218,0,112,42,4,0,P
0,1,1,4,0,906,0,6,4,1,0,P
0,1,3,16,0,1091,0,7,2,0,0,P
0,4,2,10,0,1185,0,15,22,0,0,P
0,0,0,2,0,726,0,5,4,0,0,P
0,0,3,11,0,1533,0,12,20,1,0,P
0,1,0,8,0,833,0,9,4,0,0,P
0,3,0,6,0,1418,0,12,3,0,0,P
0,1,0,5,0,2103,0,19,12,3,0,P
0,3,7,22,0,1648,0,26,10,1,0,P
0,1,3,16,0,1542,0,9,8,0,0,P
0,2,1,18,0,1631,0,12,6,1,0,P
0,4,9,38,0,2601,0,25,14,0,0,P
1,0,0,16,0,3134,0,52,23,0,0,P
0,1,0,9,0,981,0,6,8,1,0,P
0,0,1,6,0,742,0,4,2,0,0,P
0,1,4,11,0,1339,0,19,5,0,0,P
0,4,1,16,0,1351,0,19,5,0,0,P
0,2,0,12,0,1031,0,8,2,0,0,P
0,4,0,4,0,862,0,29,6,0,0,P
0,0,2,4,0,793,0,0,0,0,0,P
0,1,0,9,0,1390,0,9,8,2,0,P
0,0,0,9,0,713,0,10,4,0,0,P
0,3,4,7,0,1059,0,21,10,2,0,P
0,1,4,11,0,1271,0,10,4,0,0,P
0,0,1,4,0,1254,0,17,12,1,0,P
0,0,4,9,0,1354,0,17,14,0,0,P
0,7,9,12,0,1275,0,11,7,1,1,P
0,1,1,7,0,1349,0,19,8,2,0,P
0,3,8,27,0,1481,0,11,0,0,0,P
0,1,0,6,0,1262,0,9,12,4,0,P
0,0,2,13,0,980,0,14,5,0,0,P
0,0,1,6,0,690,0,4,2,0,0,P
0,1,0,8,0,779,0,14,1,0,0,P
0,0,4,3,0,1154,0,1,4,0,0,P
0,2,2,19,0,2007,0,22,19,1,0,P
0,1,1,5,0,1177,0,10,9,0,0,P
0,3,5,22,0,2911,0,16,5,0,0,P
0,1,2,22,0,2124,0,25,8,1,0,P
0,0,3,15,0,1270,0,16,5,0,0,P
0,1,0,12,0,931,0,5,1,0,0,P
0,1,0,3,0,1015,0,12,10,0,0,P
0,5,3,20,0,1576,0,12,8,0,0,P
0,0,2,11,0,801,0,7,5,0,0,P
0,0,0,5,0,982,0,8,4,0,0,P
0,4,3,11,0,1018,0,10,3,1,0,P
0,0,3,16,0,1048,0,15,2,1,0,P
0,0,3,14,0,1591,0,43,18,0,0,P
0,3,5,20,0,1920,0,34,21,0,0,P
0,3,2,16,0,1445,0,19,3,0,0,P
0,8,14,51,0,2061,0,18,4,0,0,P
0,1,0,8,0,1659,0,23,23,3,0,P
0,0,2,9,0,785,0,5,6,0,0,P
0,1,5,13,0,1475,0,22,7,0,0,P
0,1,2,19,0,2506,0,51,31,2,0,P
0,0,2,10,0,932,0,18,10,1,0,P
0,3,3,12,0,910,0,4,5,0,0,P
0,0,1,10,0,1223,0,12,3,1,0,P
0,0,5,13,0,986,0,10,4,0,0,P
0,1,1,3,0,806,0,13,2,0,0,P
0,1,3,31,0,3242,0,38,30,2,1,P
0,0,4,16,0,1284,0,8,3,0,0,P
1,4,6,28,0,2523,0,18,5,0,0,P
0,0,1,8,0,838,0,8,4,0,0,P
0,0,0,11,0,1799,0,15,32,1,0,P
0,2,1,7,0,1330,0,15,14,0,0,P
0,2,1,8,0,1622,0,14,7,0,0,P
0,0,4,13,0,1981,0,30,13,1,0,P
0,0,1,9,0,812,0,2,4,0,0,P
0,0,0,12,0,1109,0,21,3,1,3,P
0,3,9,19,0,1685,0,18,7,2,0,P
0,0,2,11,0,1127,0,16,10,0,0,P
0,0,0,10,0,890,0,13,7,0,0,P
0,2,1,5,0,914,0,9,7,0,0,P
0,3,3,12,0,859,0,16,11,5,0,P
0,0,1,7,0,859,0,3,2,0,0,P
0,0,0,5,0,1087,0,14,8,1,0,P
0,1,0,9,0,910,0,10,1,0,0,P
0,1,2,4,0,1344,0,18,15,1,1,P
0,1,18,15,0,1782,0,8,11,0,0,P
0,2,3,17,0,1587,0,13,15,1,0,P
0,4,1,17,0,2562,0,25,12,0,0,P
0,3,3,37,0,3392,0,56,60,2,0,P
0,1,4,14,0,1214,0,6,2,0,0,P
0,3,2,27,0,2393,0,21,18,0,0,P
0,1,2,6,0,878,0,12,9,1,0,P
0,1,6,12,0,2456,0,4,3,0,0,P
0,2,2,9,0,807,0,8,5,0,0,P
0,0,4,14,0,1499,0,26,21,1,0,P
0,0,1,2,0,1026,0,14,14,3,0,P
0,1,0,6,0,894,0,19,9,2,0,P
0,2,0,20,0,1457,0,14,5,0,0,P
0,1,4,12,0,1692,0,19,3,0,0,P
0,1,3,11,0,1458,0,25,13,0,0,P
0,1,0,6,0,697,0,8,1,0,0,P
0,3,4,17,0,980,0,16,7,0,0,P
0,1,1,14,0,1027,0,16,15,0,0,P
0,1,1,17,0,1135,0,17,11,1,0,P
0,2,0,10,0,1097,0,24,12,2,0,P
0,0,0,6,0,830,0,9,5,0,0,P
0,0,0,14,0,1002,0,1,1,0,0,P
1,1,2,23,0,1376,0,20,12,0,0,P
0,2,4,19,0,1705,0,19,13,0,0,P
0,0,0,8,0,852,0,6,4,1,0,P
0,0,2,9,0,698,0,3,4,1,0,P
0,0,1,13,0,1107,0,11,8,0,0,P
0,0,0,7,0,1147,0,9,8,0,0,P
0,0,0,4,0,1364,0,15,8,2,0,P
0,1,4,7,0,925,0,12,5,0,0,P
0,4,2,8,0,1114,0,23,18,2,0,P
0,0,1,15,0,1098,0,8,9,2,0,P
0,0,2,4,0,812,0,11,6,0,0,P
0,2,3,20,0,1362,0,17,5,0,0,P
0,1,0,5,0,952,0,14,6,0,0,P
0,0,0,6,0,777,0,9,7,1,0,P
0,1,1,10,0,1568,0,19,11,1,0,P
0,0,1,19,0,1132,0,23,3,1,0,P
0,2,1,10,0,1560,0,11,13,0,1,P
0,0,0,10,0,1210,0,8,1,0,0,P
0,1,1,20,0,1457,0,11,10,0,0,P
0,0,2,8,0,1586,0,18,16,0,0,P
0,1,4,7,0,1386,0,17,11,0,0,P
0,0,4,18,0,1711,0,24,22,0,0,P
0,1,3,17,0,2121,0,20,12,0,0,P
0,3,6,20,0,2133,0,27,6,0,0,P
0,0,1,18,0,1292,0,30,15,0,0,P
0,0,6,3,0,1351,0,6,7,1,0,P
1,0,0,10,0,2003,0,20,14,1,0,P
0,0,4,18,0,1831,0,24,7,0,0,P
0,3,5,48,0,2183,0,30,8,0,0,P
0,1,4,15,0,2582,0,36,7,4,0,P
0,3,5,33,0,2880,0,49,29,0,0,P
1,4,8,31,0,4150,0,58,53,0,1,P
0,0,0,1,0,864,0,9,14,0,0,P
0,0,1,13,0,1269,0,9,3,0,0,P
0,1,0,9,0,1313,0,11,5,0,0,P
0,0,0,2,0,789,0,3,6,0,0,P
0,2,2,11,0,1204,0,10,18,2,0,P
0,1,3,19,0,1369,0,17,8,0,0,P
0,7,6,17,0,1533,0,52,20,2,0,P
0,1,3,14,0,1842,0,24,17,0,0,P
0,0,0,11,0,1193,0,13,8,0,0,P
0,1,6,11,0,1203,0,9,4,0,0,P
0,1,3,16,0,1223,0,14,9,0,0,P
0,0,5,23,0,2576,0,28,19,0,0,P
0,0,5,16,0,1934,0,32,31,1,0,P
0,1,1,36,0,3274,0,23,11,0,0,P
0,1,0,4,0,685,0,12,11,0,0,P
0,1,0,9,0,824,0,6,6,1,0,P
0,0,3,5,0,875,0,9,5,1,0,P
0,1,2,9,0,1115,0,8,4,1,0,P
